,time_period,roadmap_group,prediction
526,2019-07-01,Chromebox,2800.6023474790845
527,2019-08-01,Chromebox,1638.9763293926721
528,2019-09-01,Chromebox,542.7336323334022
529,2019-10-01,Chromebox,1025.5823954352136
530,2019-11-01,Chromebox,2397.085014785391
531,2019-12-01,Chromebox,2008.8238303936307
532,2020-01-01,Chromebox,5991.334029244908
533,2020-02-01,Chromebox,16112.754116117709
534,2020-03-01,Chromebox,15421.017047181105
535,2020-04-01,Chromebox,15331.727023493735
536,2020-05-01,Chromebox,11206.046231305361
537,2020-06-01,Chromebox,14043.675479788162
538,2020-07-01,Chromebox,8105.183356769115
539,2020-08-01,Chromebox,4662.56003673884
540,2020-09-01,Chromebox,2335.2801416309558
541,2020-10-01,Chromebox,1831.1722203764084
542,2020-11-01,Chromebox,1491.5223824227583
543,2020-12-01,Chromebox,1984.08767317282
544,2021-01-01,Chromebox,2293.2690707301917
545,2021-02-01,Chromebox,2623.2052099426055
546,2021-03-01,Chromebox,2686.8368472775783
547,2021-04-01,Chromebox,2043.6157987250126
548,2021-05-01,Chromebox,2623.0414829339206
549,2021-06-01,Chromebox,2709.007891711736
